address,"latitude, longitude"
"Hacienda Drive, Studio City, Valley Village, LA, Los Angeles County, California, 90210-1333, United States of America","(34.1379191, -118.4138529)"
"Louisiana Ave, Los Angeles, California, 90064","(34.048068742542135, -118.4237449371004)"
"North 2nd Street, La Puente, Los Angeles County, California, 91744, United States of America","(34.0215744, -117.951444)"
"Elmwood Drive, Pasadena, Los Angeles County, California, 91030, United States of America","(34.1368385, -118.1830104)"
"43 Longden Ave, San Gabriel, California, 91775","(34.11352924437481, -118.09972068497379)"
"Park Blvd, El Cajon, California, 92021","(32.809248152347855, -116.86513545848895)"
"Waddell St, Valley Village, California, 91607","(34.17437504007219, -118.41275988538412)"
"Blake St, Pasadena, California, 91103","(34.1604603822827, -118.16018932202127)"
"Austin St, Woodland Hills, California, 91364","(34.15900503944559, -118.62771492387527)"
"372 Los Angeles Ave, Moorpark, California, 93021","(34.278870717894144, -118.88586019585054)"
"Colonial Drive, Palmdale, Los Angeles County, California, 93550, United States of America","(34.5565832, -118.1086983)"
"393 Lafayette St, Glendale, California, 91205","(34.141596368624064, -118.23191846669356)"
"Edgemore Ave, Sacramento, California, 95835","(38.66053618108057, -121.4969907204323)"
"3777 Richmond St, San Diego, California, 92103","(32.746967760279, -117.15116258504588)"
"2845 Boulder St, Los Angeles, California, 90033","(34.04633262636005, -118.19975717759304)"
"Contour Dr, Sherman Oaks, California, 91423","(34.14277923927494, -118.42718831141258)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"Commerce Drive, Irwindale, Los Angeles County, California, 91706, United States of America","(34.0922323, -117.9919232)"
"W Parade St, Long Beach, California, 90810","(33.790788513840056, -118.21227008898886)"
"Main Street, Santa Monica, Los Angeles County, California, CA 90401, United States of America","(34.0119709, -118.4927113)"
"Wyoming Avenue, West Los Angeles, Brentwood, LA, Los Angeles County, California, 90067, United States of America","(34.0469235, -118.4545647)"
"Concord Rd, Sacramento, California, 95820","(38.53055005359023, -121.41760490900725)"
"9, Antelope Valley Freeway, Mint Canyon, Sand Canyon, Santa Clarita, Los Angeles County, California, 91387, United States of America","(34.4233221, -118.4274852)"
"Beverly Boulevard, West Hollywood, Los Angeles County, California, 90211, United States of America","(34.0771827, -118.389284)"
"229 40th St, Manhattan Beach, California, 90266","(33.90283668699797, -118.41911780996577)"
"Bloomfield Avenue, Norwalk, Los Angeles County, California, 90650, United States of America","(33.9165817, -118.0638758)"
"Arapahoe St, Los Angeles, California, 90006","(34.047537637514935, -118.28536754523493)"
"Colima Road, Otterbein, Los Angeles County, California, 91765, United States of America","(33.9878286, -117.8678073)"
"2094 36th St, Lakewood, California, 90712","(33.82198922623648, -118.16573850914165)"
"Greenwich Ct, Palmdale, California, 93550","(34.56300756183871, -118.09058257167919)"
"Woodfield Rd, La Canada Flintridge, California, 91011","(34.19295323265962, -118.18747030371055)"
"Alemany Dr, Mission Hills, California, 91345","(34.27731652733277, -118.46180895917615)"
"Beechwood St, Lancaster, California, 93535","(34.69104003612466, -118.09013490010526)"
"Mayfield Ave, Los Angeles, California, 90049","(34.04991393001273, -118.46577488911332)"
"Park Dr, Los Angeles, California, 90026","(34.086459689282755, -118.24754402797092)"
"37 Elm St, Alhambra, California, 91801","(34.0945024167713, -118.1508531943601)"
"Belmont Ave, Los Angeles, California, 90026","(34.07120751055867, -118.2622071185977)"
"755 Harbor Hls, Lomita, California, 90717","(33.77812087183061, -118.31158627609994)"
"455 N Main St, Los Angeles, California, 90012","(34.056123803632836, -118.2398491528174)"
"406, Main Street, San Gabriel, Los Angeles County, California, 91776, United States of America","(34.0967751, -118.0959759)"
"County Rd, Santa Barbara, California, 93110","(34.44597948392268, -119.77496950390746)"
"West 80th Street, Inglewood, Los Angeles County, California, 90305, United States of America","(33.9662269, -118.3330321)"
"701 Harrison Rd, Monterey Park, California, 91755","(34.04282918830107, -118.11265588398808)"
"50 Walker St, Watsonville, California, 95076","(36.90430984817293, -121.7562650557079)"
"Fiesta St, Paramount, California, 90723","(33.90713004344475, -118.17501491316362)"
"8 County Rd, Pomona, California, 91766","(34.025992179103184, -117.74886957331589)"
"Joyce Street, Montebello, Los Angeles County, California, 90640, United States of America","(34.0078678, -118.125481)"
"Park Avenue, Belmont Shore, Long Beach, Los Angeles County, California, 90804, United States of America","(33.7634539, -118.1372261)"
"67 Chestnut Hill Pl, Claremont, California, 91711","(34.13300864238424, -117.71520249669098)"
"56 W E St, Wilmington, California, 90744","(33.77555903075267, -118.2621666755676)"
"Colima Road, Otterbein, Los Angeles County, California, 91765, United States of America","(33.9878286, -117.8678073)"
"Chestnut Street, Orange Heights, Pasadena, Los Angeles County, California, 91103, United States of America","(34.1504151, -118.1489211)"
"Lennox St, Pomona, California, 91767","(34.08855008622665, -117.72971395841243)"
"Cabot St, Los Angeles, California, 90031","(34.09324691478968, -118.23934967794264)"
"206, Main Street, San Gabriel, Los Angeles County, California, 91776, United States of America","(34.0967519, -118.0981568)"
"45 N 2nd Ave, Arcadia, California, 91006","(34.14056054590612, -118.02500389962742)"
"Middlegate Road, Westlake Village, Los Angeles County, California, 91361, United States of America","(34.1420967, -118.8159551)"
"Monroe Street, Silver Lake, Little Armenia, LA, Los Angeles County, California, 90012, United States of America","(34.0856352, -118.2870061)"
"46 Los Angeles Ave, Moorpark, California, 93021","(34.278870717894144, -118.88156571303112)"
"Harrison Road, Monterey Park, Los Angeles County, California, 91776, United States of America","(34.0433858, -118.1148511)"
"8597 National Blvd, Culver City, California, 90232","(34.02715563074532, -118.38054988000442)"
"Prosperity Ct, Sacramento, California, 95828","(38.487580038368506, -121.40159492911846)"
"State Street, Brooklyn Heights, Boyle Heights, LA, Los Angeles County, California, 90031, United States of America","(34.0523203, -118.2141122)"
"Knowlton Street, LA, Los Angeles County, California, 90045, United States of America","(33.9751607, -118.3717711)"
"Broad St, Carson, California, 90745","(33.80615989127112, -118.26228218314978)"
"Metropolitan Plz, Los Angeles, California, 90036","(34.06747004672302, -118.35311493293993)"
"Amboy Avenue, Sylmar, LA, Los Angeles County, California, 91342, United States of America","(34.3010521, -118.4737169)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"Lafayette Ave, Rosemead, California, 91770","(34.06969876157504, -118.09409991749288)"
"Rider Ct, Claremont, California, 91711","(34.11844002274724, -117.72375491341751)"
"Gunderson Ave, Downey, California, 90242","(33.90545313611136, -118.14534139875111)"
"Lawton Street, South El Monte, Los Angeles County, California, 91733, United States of America","(34.0453997, -118.0517167)"
"Connecticut Ave, La Mesa, California, 91942","(32.777595661721364, -117.04678497327599)"
"Leonis Boulevard, Vernon, Los Angeles County, California, 90058, United States of America","(34.0001518, -118.2130766)"
"Eads Street, Cypress Park, Angelino Heights, LA, Los Angeles County, California, 90012, United States of America","(34.0944248, -118.2404849)"
"Huntwood Ln, Canyon Country, California, 91387","(34.396246445580225, -118.44617285739757)"
"7th Street, Paramount Studios, Little Armenia, LA, Los Angeles County, California, 90028, United States of America","(34.0855316, -118.3186526)"
"French Ave, Los Angeles, California, 90065","(34.08817070791533, -118.21286248613546)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"2 Lighthouse St, Marina Del Rey, California, 90292","(33.97269344800874, -118.46147078948299)"
"82 Windsor Ln, Sierra Madre, California, 91024","(34.16313891932064, -118.05387260228309)"
"Carpenter Avenue, Studio City, Valley Village, LA, Los Angeles County, California, 91604, United States of America","(34.1521855, -118.3910314)"
"Greg Ave, Sun Valley, California, 91352","(34.20945321322978, -118.35194853063203)"
"Norris Avenue, Pacoima, LA, Los Angeles County, California, 91343, United States of America","(34.2800866, -118.4265451)"
"Civic Center Drive, Beverly Hills, Los Angeles County, California, 90211, United States of America","(34.0755042, -118.3974074)"
"Apple Creek Ln, Hacienda Heights, California, 91745","(33.98372192658624, -117.94788540943006)"
"Gravois Avenue, University Hills, East Los Angeles, Belvedere, Los Angeles County, California, 90031, United States of America","(34.0586178, -118.1734506)"
"25 E 75th St, Los Angeles, California, 90003","(33.97220911005783, -118.27386078981694)"
"Flynn St, La Puente, California, 91744","(34.04271005142606, -117.9632549304344)"
"840 15th Pl, Hermosa Beach, California, 90254","(33.86631698527667, -118.39235896169784)"
"Southwick Way, Sacramento, California, 95864","(38.57958492574122, -121.35890618712413)"
"Century Park East, Century City, Westwood, LA, Los Angeles County, California, 90067, United States of America","(34.0587944, -118.4123047)"
"Alabama Avenue, Chatsworth, LA, Los Angeles County, California, 91311, United States of America","(34.2390887, -118.5997562)"
"Park Blvd, El Cajon, California, 92021","(32.809248152347855, -116.86513545848895)"
"9390 Rowell Ave, Chatsworth, California, 91311","(34.239481936258784, -118.63633586417572)"
"Colorado Boulevard, Pasadena, Los Angeles County, California, 91030, United States of America","(34.1417567, -118.1741005)"
"Marquette Avenue, Pomona, Los Angeles County, California, 91766, United States of America","(34.0295079, -117.73343)"
"866 34th Ave, Oakland, California, 94601","(37.77337015667305, -122.22589664101933)"
"Decker, Westlake Village, Ventura County, California, CA 90265, United States of America","(34.1225737, -118.8640012)"
"Lockport Pl, Santa Fe Springs, California, 90670","(33.9312400431052, -118.05656994602484)"
"Prospect Place, La Fresa, Torrance, Los Angeles County, California, 90277, United States of America","(33.8451757, -118.3764714)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"J St, Watsonville, California, 95076","(36.914855047089446, -121.7481398963128)"
"20th Ave, Venice, California, 90291","(33.985171241958575, -118.4711859386263)"
"7422 Marin Ave, Sacramento, California, 95820","(38.53405544508837, -121.4171228691728)"
"10276 Brooke Ave, Chatsworth, California, 91311","(34.2568313619361, -118.60743965041699)"
"St George St, Los Angeles, California, 90027","(34.109097544146, -118.27468253749699)"
"Cherry Street, Alvarado Terrace Historic District, Saint James Park, LA, Los Angeles County, California, 90015, United States of America","(34.036531, -118.275605)"
"Lewis Road, Agoura Hills, Los Angeles County, California, 91301, United States of America","(34.1467348, -118.7445451)"
"Civic Center Drive, Beverly Hills, Los Angeles County, California, 90211, United States of America","(34.0755042, -118.3974074)"
"Dupont St, Chatsworth, California, 91311","(34.25359729032418, -118.60112997254045)"
"15th Street, Manhattan Beach, Los Angeles County, California, 90266, United States of America","(33.8872674, -118.411943)"
"Steel Ln, Valencia, California, 91354","(34.45293105716436, -118.56914910522143)"
"86 66th Ave, Playa Del Rey, California, 90293","(33.960151325794065, -118.45170679564525)"
"58th, Lancaster, Los Angeles County, California, CA 93536, United States of America","(34.6858308, -118.234535)"
"94 Chase Dr, Santa Barbara, California, 93108","(34.434430709725014, -119.67339370313027)"
"Washington, Cerritos, Los Angeles County, California, 90650, United States of America","(33.8480614, -118.0812441)"
"West Main Street, San Gabriel, Los Angeles County, California, 91776, United States of America","(34.0963389, -118.1058406)"
"20th Street East, Palmdale, Los Angeles County, California, 93535, United States of America","(34.6605843, -118.0945429)"
"State Street, Brooklyn Heights, Boyle Heights, LA, Los Angeles County, California, 90031, United States of America","(34.0523203, -118.2141122)"
"Center Dr, Los Angeles, California, 90045","(33.97501448391288, -118.38716725433964)"
"Warehouse St, Los Angeles, California, 90021","(34.033236853821506, -118.24013432146661)"
"California, Avenida 2, Centro Catedral, Catedral, Cantón San José, Provincia de San José, 10104, Costa Rica","(9.9324695, -84.0751134072458)"
"63 Smith Aly, Pasadena, California, 91103","(34.146535391418844, -118.15102326798123)"
"Marquette Avenue, Pomona, Los Angeles County, California, 91766, United States of America","(34.0295079, -117.73343)"
"Hammond Dr, Santa Barbara, California, 93108","(34.41843546394448, -119.6341198960478)"
"95 1st St, Sylmar, California, 91342","(34.29347079780128, -118.45251978813882)"
"Front Street, Burbank, Los Angeles County, California, 91502, United States of America","(34.1799821, -118.3133259)"
"5 Cleveland Ct, Alameda, California, 94501","(37.78164094718965, -122.27344891356013)"
"Hidden Ln, La Habra, California, 90631","(33.946035024219206, -117.94633492731785)"
"1128 Delaware St, Huntington Beach, California, 92648","(33.66698647457416, -117.99286200306084)"
"Morris Ave, La Habra, California, 90631","(33.93491005763263, -117.97182332422538)"
"Lakeview Avenue, Marina Pacifica, Belmont Shore, Long Beach, Los Angeles County, California, 90803, United States of America","(33.7657803, -118.1303932)"
"Aspen Street, Lancaster, Los Angeles County, California, 93535, United States of America","(34.6957032, -118.0941229)"
"13N E N St, Wilmington, California, 90744","(33.79009302310217, -118.26317541002979)"
"9 Chapel St, Santa Barbara, California, 93111","(34.436281660450085, -119.81024054134951)"
"6 Ridgewood Ct, Pomona, California, 91766","(34.03373699357441, -117.77422796831198)"
"Atlantic Ave, Los Angeles, California, 90066","(33.99893993662828, -118.42017811989678)"
"Commerce Way, Walnut, Los Angeles County, California, 91789, United States of America","(34.0146513, -117.8548418)"
"Lancaster Dr, Claremont, California, 91711","(34.11814721590109, -117.69953242827289)"
"Babcock Ave, North Hollywood, California, 91605","(34.22093003719157, -118.40708990507159)"
"97 E 3rd St, Long Beach, California, 90802","(33.77056898084059, -118.19196108397034)"
"36 Enterprise Pkwy, Lancaster, California, 93534","(34.655159284770086, -118.13210491101553)"
"San Marcos Road, San Dimas, Los Angeles County, California, 91773, United States of America","(34.1003957, -117.809307)"
"Crawford St, Los Angeles, California, 90011","(34.0130394772697, -118.27006599149831)"
"E 40th Pl, Los Angeles, California, 90011","(34.01019517000138, -118.25469274347456)"
"78 Maryland St, El Segundo, California, 90245","(33.91643656123368, -118.40659187656459)"
"Truesdale St, Sun Valley, California, 91352","(34.24941609525129, -118.38709118676765)"
"Lincoln Boulevard, Santa Monica, Los Angeles County, California, 90401-2405, United States of America","(34.0206195, -118.4926997)"
"13 Gunnison Ave, Sacramento, California, 95838","(38.650842431025026, -121.46884559213058)"
"E Carrillo St, Santa Barbara, California, 93103","(34.43045982400458, -119.69227067567056)"
"Palo Alto, Los Ángeles, Monterrey, Nuevo León, 64750, México","(25.6334569, -100.3150416)"
"5th Avenue, Van Ness, Leimert Park, LA, Los Angeles County, California, 90043, United States of America","(33.9727531, -118.3221092)"
"Portage Way, Carlsbad, California, 92011","(33.0954200348735, -117.31033381497446)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"Mount Vernon Avenue, Pomona, Los Angeles County, California, 91768, United States of America","(34.0584084, -117.783076)"
"Hendley Dr, Studio City, California, 91604","(34.13825062701729, -118.3765489693782)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"Coldwater Canyon Avenue, Van Nuys, LA, Los Angeles County, California, 91605-5738, United States of America","(34.215244, -118.4143834)"
"West G Street, Wilmington, LA, Los Angeles County, California, 90744, United States of America","(33.7781507, -118.2794369)"
"Park Place, Sparr Heights, Montrose, Glendale, Los Angeles County, California, 91020, United States of America","(34.2047643, -118.2231961)"
"70 Mechanic St, California, Pennsylvania, 15419","(40.06889402646246, -79.89448085498168)"
"79 S Rowell Ave, Manhattan Beach, California, 90266","(33.87925191676197, -118.38962635871113)"
"4923 Carey Rd, Sacramento, California, 95835","(38.65847060365759, -121.48260992759356)"
"64 Newman St, Pomona, California, 91768","(34.05886974612425, -117.7644751336192)"
"CA-22, Long Beach, California, 90804","(33.775310052454145, -118.12200982078049)"
"McAuley St, Lakewood, California, 90713","(33.858540045962926, -118.12085993966129)"
"State Rd, Brea, California, 92823","(33.9562021830375, -117.81153060130505)"
"9648 S Main St, Los Angeles, California, 90003","(33.94849245366937, -118.27383260088885)"
"Dorset Pl, Harbor City, California, 90710","(33.813594219962084, -118.30367771290271)"
"W Clark Ave, Burbank, California, 91506","(34.17127005105489, -118.32491017538567)"
"Miller Road, South Whittier, Leffingwell, Los Angeles County, California, 90604, United States of America","(33.9279756, -118.0184699)"
"W 8th St, Los Angeles, California, 90057","(34.05629050989015, -118.28103095086702)"
"Franklin Avenue, Hollywood, LA, Los Angeles County, California, 90028, United States of America","(34.1054596, -118.3282391)"
"California Heritage Museum, Main Street, Santa Monica, Los Angeles County, California, CA 90405, United States of America","(34.0015316, -118.4834534)"
"322 Horizon Ave, Venice, California, 90291","(33.990311899902565, -118.47046297943383)"
"N Ave 55, Los Angeles, California, 90042","(34.12761890438906, -118.19756777272177)"
"501 N 19th St, Montebello, California, 90640","(34.02011194506788, -118.11920943389042)"
"3rd Avenue, Jefferson Park, Cienega, LA, Los Angeles County, California, 90018, United States of America","(34.0343633, -118.3200517)"
"919 Wall St, Los Angeles, California, 90015","(34.03828912109659, -118.25249437423531)"
"985 6th Ave, Venice, California, 90291","(33.994628938560965, -118.46834209784673)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"1644 Clover St, La Verne, California, 91750","(34.11314559615742, -117.77291405982709)"
"32nd Street School/USC Magnet, 822, West 32nd Street, Saint James Park, LA, Los Angeles County, California, 90007, United States of America","(34.0240869, -118.282786060994)"
"French Ave, Los Angeles, California, 90065","(34.08817070791533, -118.21286248613546)"
"Greenwood Place, Los Feliz, Little Armenia, LA, Los Angeles County, California, 90028, United States of America","(34.1084511, -118.2902631)"
"Ventura Boulevard, Woodland Hills, LA, Los Angeles County, California, 91464, United States of America","(34.1626422, -118.6308584)"
"Malone St, Los Angeles, California, 90066","(34.01978504332704, -118.44387489298539)"
"Brandon St, Pasadena, California, 91107","(34.14420009406274, -118.08157542038322)"
"201 Hawk Ln, Palmdale, California, 93551","(34.6107072867367, -118.13164175037471)"
"Lund St, Woodland Hills, California, 91367","(34.16605020495111, -118.64346177429026)"
"97 Airport Rd, Avalon, California, 90704","(33.40677483558898, -118.40894008781005)"
"Broadway, Santa Monica, Los Angeles County, California, 90401, United States of America","(34.0145078, -118.494313)"
"West Avenue I, Lancaster, Los Angeles County, California, 93536, United States of America","(34.703894, -118.1371173)"
"West 18th Street, Financial District, Saint James Park, LA, Los Angeles County, California, 90015, United States of America","(34.0348127, -118.2687438)"
"Alabama St, Los Angeles, California, 90059","(33.92644413248949, -118.24744677971442)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"Shady Lane, Topanga Oaks, Los Angeles County, California, 90290, United States of America","(34.1037537, -118.5908316)"
"University Drive, Bungalow Heaven, Pasadena, Los Angeles County, California, 91104, United States of America","(34.1758584, -118.1173614)"
"1 Rancho Way, Watsonville, California, 95076","(36.86774644436685, -121.69024287230236)"
"2239 Shawnee Ln, Ventura, California, 93001","(34.30310240048859, -119.29028869762215)"
"1438 Los Angeles St, Fillmore, California, 93015","(34.366413987980245, -118.93307061713175)"
"508 Los Angeles Ave, Moorpark, California, 93021","(34.278870717894144, -118.88726658192374)"
"South Ash Avenue, Inglewood, Los Angeles County, California, 90301, United States of America","(33.9614705, -118.3682169)"
"Lake Dr, Beverly Hills, California, 90210","(34.10426740040168, -118.41416092087206)"
"Bloomfield Avenue, Norwalk, Los Angeles County, California, 90650, United States of America","(33.9165817, -118.0638758)"
"Main Street, Walnut Hills Mobile Home Park, Pomona, Los Angeles County, California, 91765, United States of America","(34.0436303, -117.8167971)"
"Hawthorne Blvd, Inglewood, California, 90304","(33.9309602615893, -118.35248993632965)"
"Green Ave, Los Angeles, California, 90017","(34.05101691417415, -118.27152454325744)"
"Bridle Lane, Beverly Hills, Los Angeles County, California, 90025, United States of America","(34.0841524, -118.424593)"
"910 Radway Ave, La Puente, California, 91744","(34.044590073659826, -117.96121567947058)"
"303 Radcliff Dr, Walnut, California, 91789","(34.02086214583152, -117.85743006100905)"
"Memorial Dr, Los Angeles, California, 90068","(34.14676141155116, -118.32051972919531)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"93 Redmond Rd, Eureka, California, 95503","(40.79303381643554, -124.08537134760259)"
"4 Chapel St, Santa Barbara, California, 93111","(34.4363034082128, -119.81012190050309)"
"Van Buren Street, Val Verde, Los Angeles County, California, 91383, United States of America","(34.4427682, -118.6547878)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"I-10 E, Los Angeles, California, 90063","(34.05723509911725, -118.18052324042755)"
"Southern Ln, South Gate, California, 90280","(33.94899838825736, -118.1831867409269)"
"1 W Garfield Ave, Glendale, California, 91204","(34.135975006099784, -118.26030903414838)"
"679 Los Angeles Ave, Moorpark, California, 93021","(34.27904107910581, -118.89108659127113)"
"105 Richmond St, El Segundo, California, 90245","(33.91648462575644, -118.41725568345832)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"Jefferson, LA, Los Angeles County, California, 90061, United States of America","(33.9276326, -118.2770183)"
"South Drive, Fox Hills, Culver City, Los Angeles County, California, 90230, United States of America","(33.9936749, -118.389508)"
"W River Dr, Sacramento, California, 95833","(38.60876875282708, -121.53618650942545)"
"W Central Ave, Monrovia, California, 91016","(34.13587889678443, -118.005274789766)"
"Dupont Street, Chatsworth, LA, Los Angeles County, California, 91311, United States of America","(34.2535963, -118.6038665)"
"Hudson Street, Palmdale, Los Angeles County, California, 93552, United States of America","(34.5648255, -118.035727)"
"76 Brooks Ave, Venice, California, 90291","(33.99135068356082, -118.47562858001739)"
"Blackstone Ct, Los Angeles, California, 90015","(34.041231986216175, -118.25795797357587)"
"4252 Warrington Ave, Pico Rivera, California, 90660","(34.01222740555358, -118.0724266223916)"
"506 Hacienda Dr, Palmdale, California, 93551","(34.54936598933061, -118.13995508154315)"
"481 W Lemon Ave, Monrovia, California, 91016","(34.1469352251992, -118.00928522647344)"
"Tiger Way, Palmdale, California, 93551","(34.61799604541758, -118.23147103949137)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"West 32nd Street, San Pedro, LA, Los Angeles County, California, 90731, United States of America","(33.715175, -118.2906484)"
"Center Street, Naud Junction, Little Tokyo Historic District, LA, Los Angeles County, California, 90012, United States of America","(34.0522166, -118.2313524)"
"10th Street West, Palmdale, Los Angeles County, California, CA 93551, United States of America","(34.6238949, -118.1477457)"
"Lewis Road, Agoura Hills, Los Angeles County, California, 91301, United States of America","(34.1467348, -118.7445451)"
"177 Rider Rd, Watsonville, California, 95076","(37.0157915870763, -121.82063247044873)"
"Boston Ave, La Crescenta, California, 91214","(34.23948242670627, -118.26174167155152)"
"6 E Hardy St, Inglewood, California, 90301","(33.94901156392672, -118.35488026841823)"
"University Avenue, Alvarado Terrace Historic District, Saint James Park, LA, Los Angeles County, California, 90007, United States of America","(34.0277235, -118.2810889)"
"4 W 58th St, Los Angeles, California, 90037","(33.98966999431508, -118.27400806838595)"
"12th Street, Santa Monica, Los Angeles County, California, CA 90405, United States of America","(34.0168823, -118.4809713)"
"CA-57 N, Diamond Bar, California, 91765","(33.98120475800128, -117.84169471358196)"
"Commerce Drive, Irwindale, Los Angeles County, California, 91706, United States of America","(34.0922323, -117.9919232)"
"35 E Main St, Alhambra, California, 91801","(34.095574487795574, -118.12622439531577)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"433 Westminster Ave, Los Angeles, California, 90020","(34.06612097940693, -118.316359994149)"
"Euclid Avenue, Ninth Street Junction, Boyle Heights, LA, Los Angeles County, California, 90023, United States of America","(34.0265691, -118.2099215)"
"E Main St, Ventura, California, 93003","(34.26779674800438, -119.2512044608641)"
"4th Ave, Los Angeles, California, 90018","(34.02395009982273, -118.32127570836451)"
"Acacia Court, Compton, Los Angeles County, California, 90220, United States of America","(33.8754591, -118.225763)"
"Sierra St, Los Angeles, California, 90031","(34.082764097214856, -118.20052187072822)"
"1 E N St, Wilmington, California, 90744","(33.79009302310217, -118.26317541002979)"
"Sherman Avenue, Carson, Los Angeles County, California, 90248, United States of America","(33.8771721, -118.2780546)"
"W 152nd St, Gardena, California, 90248","(33.894685033659776, -118.28423492530558)"
"Victory Rd, La Mesa, California, 91942","(32.770770032783396, -117.01387988264388)"
"Industrial Pkwy, Sacramento, California, 95824","(38.515433479742946, -121.40772310489413)"
"E Avenue N, Palmdale, California, 93552","(34.57259404325927, -118.03747520312453)"
